title,type,release_year,runtime (mins),main_genre,countries,streaming_service,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,director
Pure the movie series,MOVIE,2018,144,drama,US,Amazon,6.107832666,453.5,2.12,5.989918256,Amire K Reed
Black Bud,MOVIE,2018,92,thriller,IN,Amazon,6.1,85,0.947,6,Amol Kale
Milgram and the Fastwalkers,MOVIE,2018,109,scifi,US,Amazon,2.5,22,0.6,10,Richard Cutting
Lift,MOVIE,2018,101,comedy,US,Amazon,7.6,41,2.037,5.821511111,Alexander Kaminer
The Consequence,MOVIE,2018,109,drama,US,Amazon,6.107832666,453.5,2.12,5.989918256,Wanly Florexile
NO-ONE,MOVIE,2018,117,drama,US,Amazon,6.8,34,2.12,5.989918256,Lev Prudkin
The Daniel Tiger Movie: Won't You Be Our Neighbor?,MOVIE,2018,48,family,US,Amazon,7.7,13,0.6,6.188235294,Vadim Kapridov
Bully,MOVIE,2018,83,comedy,US,Amazon,5.7,360,3.977,6,
Chris Claremont's X-Men,MOVIE,2018,70,documentation,US,Amazon,7.5,13,7.477,6.6,Patrick Meaney
5K1,MOVIE,2018,108,action,US,Amazon,4.7,58,0.6,5.624277457,Donny Armstrong
Alex & the List,MOVIE,2018,112,comedy,US,Amazon,4.6,1283,4.616,5.7,Harris Goldberg
Mohalla Assi,MOVIE,2018,120,drama,IN,Amazon,6.6,1714,1.079,6.5,Chandra Prakash Dwivedi
2,MOVIE,2018,149,scifi,IN,Amazon,6.4,23572,6.304,6.1,S. Shankar
Ratsasan,MOVIE,2018,170,thriller,IN,Amazon,8.4,38031,7.22,7.7,Ram Kumar
Kaathadi,MOVIE,2018,119,comedy,IN,Amazon,6.3,45,1.021,5.821511111,Kalyaan
Laundry Day,MOVIE,2018,88,drama,US,Amazon,5.4,67,0.713,10,
Permission,MOVIE,2018,96,romance,US,Amazon,5.3,4410,16.362,5,
Peterloo,MOVIE,2018,154,drama,GB,Amazon,6.5,4812,13.044,6.9,
Billy Boy,MOVIE,2018,86,thriller,US,Amazon,4.5,462,4.454,5.3,
Suspiria,MOVIE,2018,152,thriller,"IT,US",Amazon,6.7,73691,20.207,7,Luca Guadagnino
Imaikkaa Nodigal,MOVIE,2018,170,thriller,IN,Amazon,7.4,5356,4.924,7.3,R. Ajay Gnanamuthu
Ice Princess Lily,MOVIE,2018,90,animation,DE,Amazon,5.1,231,3.729,6.9,Sven Unterwaldt Jr.
Astral,MOVIE,2018,83,thriller,GB,Amazon,4.9,4627,5.326,4.6,Chris Mul
The Girl with Two Faces,MOVIE,2018,75,crime,FR,Amazon,6.1,19,0.6,5.763592233,
Beyond the Woods,MOVIE,2018,84,horror,IE,Amazon,4.5,4757,4.498,4.1,Brayden DeMorest-Purdy
Gringo,MOVIE,2018,111,comedy,US,Amazon,6.1,29453,12.572,5.9,
The Pagan King,MOVIE,2018,110,action,"LV,GB",Amazon,6.1,2214,10.927,6.5,Aigars Grauba
What Still Remains,MOVIE,2018,92,thriller,US,Amazon,4.7,1916,6.268,5.1,Josh Mendoza
He's Out There,MOVIE,2018,89,thriller,US,Amazon,5.3,8309,10.665,5.8,
Cold War,MOVIE,2018,88,romance,"FR,PL,GB",Amazon,7.5,55240,12.422,7.5,Pawel Pawlikowski
Sobibor,MOVIE,2018,110,drama,RU,Amazon,6.4,5000,13.165,6.6,Konstantin Khabenskiy
Ash Is Purest White,MOVIE,2018,141,drama,"JP,CN,FR",Amazon,7,8996,8.453,6.8,Zhangke Jia
"Don't Worry, He Won't Get Far on Foot",MOVIE,2018,114,drama,US,Amazon,6.8,26026,16.002,6.7,Gus Van Sant
Padai Veeran,MOVIE,2018,130,action,IN,Amazon,6.1,149,1.194,5.624277457,Dhana Sekaran
Winter Ridge,MOVIE,2018,90,thriller,GB,Amazon,4.3,1053,10.517,5.5,
Naachiyaar,MOVIE,2018,100,thriller,IN,Amazon,6.8,893,1.46,5.6,Bala
Leaning Into the Wind: Andy Goldsworthy,MOVIE,2018,97,documentation,"GB,DE",Amazon,6.9,437,1.4,7.9,Thomas Riedelsheimer
Blame,MOVIE,2018,100,drama,US,Amazon,5.8,2861,8.102,6.6,
Hot Dog,MOVIE,2018,100,comedy,DE,Amazon,3.9,1752,7.879,5.4,Torsten Künstler
Sketch,MOVIE,2018,131,action,IN,Amazon,5.8,2003,2.211,5,Vijay Chandar
Thirst Street,MOVIE,2018,83,thriller,"US,FR",Amazon,5.8,547,2.339,4.1,Nathan Silver
Accident Man,MOVIE,2018,105,crime,GB,Amazon,6.2,9394,19.533,6,Jesse V. Johnson
Thaanaa Serndha Koottam,MOVIE,2018,138,comedy,IN,Amazon,7,5904,3.25,5.9,Vignesh Shivan
"Eriko, Pretended",MOVIE,2018,94,comedy,JP,Amazon,6.4,47,0.84,4,
Touch Chesi Chudu,MOVIE,2018,147,action,IN,Amazon,4.9,1003,2.73,6.1,Vikram Sirikonda
Dark River,MOVIE,2018,90,thriller,GB,Amazon,5.8,3839,5.515,5.8,Clio Barnard
The Night Eats the World,MOVIE,2018,94,thriller,FR,Amazon,6,12864,13.752,6,Dominique Rocher
Padmaavat,MOVIE,2018,164,drama,IN,Amazon,7,31346,9.773,6.9,Sanjay Leela Bhansali
Becks,MOVIE,2018,91,romance,US,Amazon,6.3,1106,2.882,5.6,Daniel Powell
Kaala,MOVIE,2018,166,crime,IN,Amazon,7.2,20,3.728,6.5,Pa. Ranjith
Mahanati,MOVIE,2018,176,drama,IN,Amazon,8.6,12056,3.528,7.4,Nag Ashwin
The Year of Spectacular Men,MOVIE,2018,102,drama,US,Amazon,5.6,1568,5.503,5.7,Lea Thompson
Edie,MOVIE,2018,102,drama,GB,Amazon,6.6,2213,2.718,6.4,Simon Hunter
102 Not Out,MOVIE,2018,107,drama,IN,Amazon,7.5,7076,2.794,7.7,Umesh Shukla
Rangasthalam,MOVIE,2018,179,drama,IN,Amazon,8.5,22814,2.889,7.2,Sukumar
Pari,MOVIE,2018,135,horror,IN,Amazon,6.5,6394,2.077,6.7,Prosit Roy
Parallel,MOVIE,2018,104,scifi,CA,Amazon,5.8,3471,11.147,6.3,Isaac Ezban
Pariyerum Perumal,MOVIE,2018,155,romance,IN,Amazon,8.8,15150,4.868,8,Mari Selvaraj
The Stolen Princess,MOVIE,2018,85,comedy,UA,Amazon,6,2455,17.248,6.8,Oleh Malamuzh
Hostile,MOVIE,2018,82,drama,"FR,BE",Amazon,5.4,6008,19.35,5.7,Mathieu Turi
Gulaebaghavali,MOVIE,2018,129,comedy,IN,Amazon,5.2,550,1.036,6.4,Kalyaan
Operation Red Sea,MOVIE,2018,139,thriller,"CN,HK,MA",Amazon,6.6,7067,16.492,7,Dante Lam
Tik Tik Tik,MOVIE,2018,130,scifi,IN,Amazon,5.8,2726,1.931,5.2,Shakti Soundar Rajan
Silukkuvarupatti Singam,MOVIE,2018,134,action,IN,Amazon,5.5,487,1.594,5,Chella
Bhaskar Oru Rascal,MOVIE,2018,150,romance,IN,Amazon,4.8,378,2.351,5.1,Siddique
Friendly Beast,MOVIE,2018,98,horror,BR,Amazon,6.3,1406,4.105,6.4,Gabriela Amaral
Yemaali,MOVIE,2018,147,thriller,IN,Amazon,4.7,113,1.253,3.5,V.Z. Dhorai
Malicious,MOVIE,2018,90,horror,US,Amazon,5,3825,12.158,5.9,
Fanney Khan,MOVIE,2018,129,drama,IN,Amazon,4.5,2131,2.807,5.4,Atul Manjrekar
Hey Jude,MOVIE,2018,146,drama,IN,Amazon,6.8,1320,1.462,5.9,Shyamaprasad
Thugs of Hindostan,MOVIE,2018,164,action,IN,Amazon,4.1,19217,7.338,5.7,
Abhiyum Anuvum,MOVIE,2018,121,romance,IN,Amazon,6.8,827,1.785,5.83271028,
Allure,MOVIE,2018,104,thriller,CA,Amazon,5,1822,14.062,5.7,
The Gateway,MOVIE,2018,90,scifi,AU,Amazon,5.5,5473,12.399,5.5,John V. Soto
My Best Friend,MOVIE,2018,90,drama,AR,Amazon,6.8,3302,16.311,7.2,Martín Deus
Let Me Fall,MOVIE,2018,138,drama,IS,Amazon,7.9,896,3.037,5.7,Baldvin Zophoníasson
The Beyond,MOVIE,2018,92,scifi,GB,Amazon,4.8,6160,9.296,5.6,Hasraf Dulull
Transit,MOVIE,2018,100,romance,"FR,DE",Amazon,6.9,9952,11.209,6.5,Christian Petzold
Beyond The Sky,MOVIE,2018,85,scifi,US,Amazon,5.2,4445,10.678,5.1,
In a Relationship,MOVIE,2018,92,romance,"MX,US",Amazon,5.5,2582,10.197,6,Sam Boyd
Primal Rage,MOVIE,2018,106,horror,US,Amazon,4.9,3572,20.804,5.4,Patrick Magee
The Guardian Angel,MOVIE,2018,102,thriller,"HR,DK,FI,US",Amazon,5.3,792,9.546,5.1,Arto Halonen
Gangsta,MOVIE,2018,125,crime,"NL,BE",Amazon,6.5,4605,5.809,6.9,Adil El Arbi
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,MOVIE,2018,78,documentation,US,Amazon,6.7,522,3.105,7.1,Sara Driver
The China Hustle,MOVIE,2018,84,documentation,US,Amazon,7.1,3633,7.566,7.4,Jed Rothstein
Bhaagamathie,MOVIE,2018,142,horror,IN,Amazon,7.1,3035,2.452,6.1,Ashok G.
The Extraordinary Journey of the Fakir,MOVIE,2018,92,drama,FR,Amazon,6.8,7513,11.484,7,Ken Scott
Wheely,MOVIE,2018,90,comedy,MY,Amazon,4.1,646,7.586,5.9,Yusry Abd Halim
White Rabbit,MOVIE,2018,71,comedy,US,Amazon,5.7,356,2.381,5.7,Daryl Wein
Nancy,MOVIE,2018,87,drama,US,Amazon,6.2,3065,5.542,5.7,Christina Choe
On Happiness Road,MOVIE,2018,111,animation,TW,Amazon,7.2,648,2.439,6.8,Hsin Yin Sung
American Animals,MOVIE,2018,117,drama,"US,GB",Amazon,7,43913,10.07,6.8,Bart Layton
Yardie,MOVIE,2018,101,crime,GB,Amazon,5.8,3070,4.368,6.1,Idris Elba
Raazi,MOVIE,2018,138,thriller,IN,Amazon,7.7,29877,5.972,7.4,Meghna Gulzar
Status Update,MOVIE,2018,106,fantasy,CA,Amazon,5.8,5055,17.474,7.4,Scott Speer
Abe & Phil's Last Poker Game,MOVIE,2018,85,drama,US,Amazon,5.6,267,1.838,6.9,
A Boy. A Girl. A Dream,MOVIE,2018,89,romance,US,Amazon,4.7,483,3.01,6.5,Qasim Basir
"You, Me and Him",MOVIE,2018,98,comedy,GB,Amazon,6,2976,3.215,5.8,Daisy Aitkens
Generation Wealth,MOVIE,2018,106,documentation,US,Amazon,6.6,4826,8.223,6.6,Lauren Greenfield
Hichki,MOVIE,2018,116,drama,IN,Amazon,7.6,12091,10.814,7.6,Malhotra P. Siddharth
In the Aisles,MOVIE,2018,125,drama,DE,Amazon,6.9,4593,5.886,7,Thomas Stuber
Nobody Famous,MOVIE,2018,87,comedy,CA,Amazon,4.5,145,1.985,6,Sarah Rotella
Ghajinikanth,MOVIE,2018,147,comedy,IN,Amazon,5.5,566,1.846,6.6,Santhosh P. Jayakumar
Shatru Gate,MOVIE,2018,138,romance,XX,Amazon,6.1,136,0.881,5.83271028,Pradeep Bhattarai
Sui Dhaaga - Made in India,MOVIE,2018,150,drama,IN,Amazon,6.8,8222,4.232,7.2,Sharat Katariya
Gold,MOVIE,2018,170,drama,IN,Amazon,7.4,13554,4.709,7.2,
Cover Versions,MOVIE,2018,84,thriller,US,Amazon,5.4,698,6.58,7,Todd Berger
October,MOVIE,2018,109,drama,IN,Amazon,7.6,15311,5.509,6.8,Shoojit Sircar
Too Cold to Swim,MOVIE,2018,80,drama,US,Amazon,6.107832666,453.5,1.283,5.989918256,D.W. Young
Race 3,MOVIE,2018,160,thriller,IN,Amazon,2,45760,3.865,4.5,Remo D'Souza
Runaway Romance,MOVIE,2018,90,romance,US,Amazon,6.1,1065,14.802,6.7,Brian Herzlinger
Seethakathi,MOVIE,2018,173,comedy,IN,Amazon,7,874,2.429,7.7,Balaji Tharaneetharan
Asylum of Fear,MOVIE,2018,79,horror,US,Amazon,5.8,6373,5.735,5.5,
Beyond the Edge,MOVIE,2018,90,fantasy,RU,Amazon,4.5,3126,12.55,5.6,Aleksandr Boguslavskiy
Break Night,MOVIE,2018,98,drama,US,Amazon,4.2,205,2.124,4.1,
Bachelor Lions,MOVIE,2018,94,comedy,US,Amazon,6,53,2.141,2,Paul Bunch
Sonu Ke Titu Ki Sweety,MOVIE,2018,138,romance,IN,Amazon,7.1,21722,4.426,6.7,Luv Ranjan
Kadaikutty Singam,MOVIE,2018,148,romance,IN,Amazon,7,2504,3.047,7.6,Pandiraj
Maya the Bee: The Honey Games,MOVIE,2018,85,comedy,"AU,DE",Amazon,5.6,861,15.95,6.8,Noel Cleary
Zoo,MOVIE,2018,96,history,"GB,IE",Amazon,6.5,1207,13.834,6.8,Colin McIvor
Demon House,MOVIE,2018,111,horror,US,Amazon,5.1,6080,6.703,5.3,
Thuppakki Munai,MOVIE,2018,123,romance,IN,Amazon,6.3,454,1.372,5.6,Dinesh Selvaraj
Father to Son,MOVIE,2018,116,drama,TW,Amazon,6.7,320,0.707,6,Ya-chuan Hsiao
Delirium,MOVIE,2018,86,thriller,US,Amazon,3.3,930,4.796,4.7,Johnny Martin
Eddie Griffin: Undeniable,MOVIE,2018,74,comedy,US,Amazon,5,260,2.33,7.5,Gobi M. Rahimi
The Rocket,MOVIE,2018,89,family,US,Amazon,5.1,287,2.414,6.7,Richard Blake
#SquadGoals,MOVIE,2018,85,thriller,US,Amazon,4.2,569,3.562,4.5,Danny J. Boyle
Desolation,MOVIE,2018,90,thriller,US,Amazon,4.8,2189,2.246,4.3,David Moscow
Hate Story IV,MOVIE,2018,131,thriller,IN,Amazon,3.3,1614,0.945,6.5,Vishal Pandya
Trump: The Art of the Insult,MOVIE,2018,95,documentation,US,Amazon,5.6,381,3.135,4.5,Joel Gilbert
Night Comes On,MOVIE,2018,87,drama,US,Amazon,6.7,977,5.466,6.2,Jordana Spiro
Bharat Ane Nenu,MOVIE,2018,173,drama,IN,Amazon,7.5,16977,3.659,6.7,Koratala Siva
Girls of the Sun,MOVIE,2018,111,drama,"CH,BE,GE,FR",Amazon,6.5,2391,4.729,7.3,Eva Husson
The Competition,MOVIE,2018,105,comedy,US,Amazon,4.4,1277,4.025,4.5,Harvey Lowry
Gayatri,MOVIE,2018,125,thriller,IN,Amazon,5.4,789,2.17,5.606822811,Madan
Kuldip Patwal: I Didn't Do It!,MOVIE,2018,126,crime,IN,Amazon,6.4,651,0.6,4,Remy Kohli
Pass Over,MOVIE,2018,74,drama,US,Amazon,5.8,993,3.21,6.5,Spike Lee
Relentless,MOVIE,2018,96,thriller,"SV,US",Amazon,4.5,418,4.085,4.6,
Summer '03,MOVIE,2018,102,comedy,US,Amazon,5.5,3313,9.264,5.9,Becca Gleason
The Bray Road Beast,MOVIE,2018,70,documentation,US,Amazon,5.2,316,2.605,5.9,Seth Breedlove
Welcome the Stranger,MOVIE,2018,94,drama,US,Amazon,4.6,2089,9.476,5,Justin Kelly
Fixed,MOVIE,2018,92,comedy,US,Amazon,4.2,211,3.961,4.3,Alonso Mayo
Kadha Paranja Kadha,MOVIE,2018,134,drama,IN,Amazon,5.8,31,0.923,6,Siju Jawahar
Dhadak,MOVIE,2018,138,romance,IN,Amazon,4.5,9878,2.776,7.7,Shashank Khaitan
Headgame,MOVIE,2018,93,horror,US,Amazon,4,808,6.026,4.4,Steven Judd
Just Friends,MOVIE,2018,80,drama,NL,Amazon,7.1,3617,7.768,7.2,Annemarie van de Mond
Owen Benjamin: Huge Pianist,MOVIE,2018,73,comedy,US,Amazon,7.1,122,1.773,4.5,Tom Stern
306 Hollywood,MOVIE,2018,94,documentation,US,Amazon,6.7,274,1.998,6.8,Elan Bogarín
Life Itself,MOVIE,2018,118,romance,"US,ES",Amazon,6.8,20995,14.538,7.3,Dan Fogelman
Itzhak,MOVIE,2018,82,documentation,"IL,US",Amazon,7.4,304,3.763,6.1,Alison Chernick
Apocalypse Rising,MOVIE,2018,83,scifi,US,Amazon,4.4,772,5.973,3.9,Richard Lowry
Beautiful Boy,MOVIE,2018,121,drama,US,Amazon,7.3,71400,19.58,7.5,Felix van Groeningen
Big Brother,MOVIE,2018,111,drama,"CN,HK",Amazon,6.3,2932,22.129,7.7,Ka-Wai Kam
When Margaux Meets Margaux,MOVIE,2018,95,comedy,FR,Amazon,5.4,400,3.507,5.2,Sophie Fillières
Age Out,MOVIE,2018,89,drama,US,Amazon,6.1,899,3.276,6.8,A.J. Edwards
Jarugandi,MOVIE,2018,136,comedy,IN,Amazon,5.4,144,0.642,4.2,Pitchumani
T-34,MOVIE,2018,139,drama,RU,Amazon,6.7,12104,13.918,7.1,Aleksey Sidorov
Living Space,MOVIE,2018,80,horror,AU,Amazon,3.3,422,3.549,4.7,Steven Spiel
First We Take Brooklyn,MOVIE,2018,90,drama,US,Amazon,3.9,569,6.116,4.7,Danny A. Abeckaser
Chi-Town,MOVIE,2018,82,documentation,US,Amazon,7.6,73,0.969,6.3,Nick Budabin
TransMilitary,MOVIE,2018,93,documentation,US,Amazon,5.9,161,3.492,6.8,Gabriel Silverman
Blood Fest,MOVIE,2018,93,horror,US,Amazon,5.4,5585,9.254,5.5,Owen Egerton
The Gospel of Eureka,MOVIE,2018,75,documentation,US,Amazon,6.4,168,0.993,5.8,Donal Mosher
Damascus Time,MOVIE,2018,115,thriller,IR,Amazon,5.4,2336,2.713,5.9,Ebrahim Hatamikia
Tranquillo,MOVIE,2018,71,drama,CH,Amazon,6.2,32,1.351,5.989918256,Jonathan Jäggi
Mario,MOVIE,2018,118,drama,CH,Amazon,7.4,4232,8.617,7.4,Marcel Gisler
Making a Killing,MOVIE,2018,106,crime,"US,CA",Amazon,4.9,304,2.941,6.3,Devin Hume
Little Pink House,MOVIE,2018,98,drama,"CA,US",Amazon,6.5,888,3.278,6.5,Courtney Balaker
Con Man,MOVIE,2018,100,crime,US,Amazon,4.7,888,4.168,5.3,Bruce McAlester
Fury of the Fist and the Golden Fleece,MOVIE,2018,107,action,US,Amazon,3,253,4.014,3.8,Alexander Wraith
Gonjiam: Haunted Asylum,MOVIE,2018,94,horror,KR,Amazon,6.3,7976,21.103,7.3,Jung Bum-shik
Acute Misfortune,MOVIE,2018,90,drama,AU,Amazon,6.6,220,2.274,5,Thomas M. Wright
Zoe,MOVIE,2018,104,scifi,US,Amazon,6,8956,9.453,6,Drake Doremus
Baja,MOVIE,2018,106,comedy,US,Amazon,4.4,342,4.338,6.3,Tony Vidal
Drinksgiving,MOVIE,2018,89,comedy,US,Amazon,4.1,138,2.611,3.7,
Survivor's Guide to Prison,MOVIE,2018,102,documentation,US,Amazon,7.1,1162,7.151,6.4,Matthew Cooke
Winter of The Braves,MOVIE,2018,110,drama,UA,Amazon,6.1,749,5.61,6.7,Aleksey Shaparev
Thy Neighbor,MOVIE,2018,99,thriller,US,Amazon,4.4,189,1.932,4,George A. Johnson
Jonathan,MOVIE,2018,101,scifi,US,Amazon,5.9,6159,8.147,5.9,Bill Oliver
Blackmail,MOVIE,2018,138,thriller,IN,Amazon,7.1,10394,6.418,6.8,Abhinay Deo
The Dark,MOVIE,2018,95,fantasy,AT,Amazon,5.6,5333,10.661,6.2,Justin P. Lange
Charm City,MOVIE,2018,106,documentation,US,Amazon,7.4,182,3.019,9,Marilyn Ness
Snapshots,MOVIE,2018,95,drama,US,Amazon,7,1934,5.167,7.1,Melanie Mayron
The Rainbow Experiment,MOVIE,2018,129,drama,US,Amazon,5.9,164,1.924,5.7,Christina Kallas
Call Her Ganda,MOVIE,2018,93,crime,"PH,US",Amazon,6.2,189,4.926,5.3,PJ Raval
Fishbowl California,MOVIE,2018,83,comedy,US,Amazon,5.3,886,4.364,6.1,Michael A. MacRae
Missing,MOVIE,2018,120,thriller,IN,Amazon,5.8,2240,2.494,6.1,Mukul Abhyankar
Kautuk Srivastava : Anatomy Of Awkward,MOVIE,2018,66,comedy,IN,Amazon,5,72,0.6,8,Neville Shah
Supercon,MOVIE,2018,100,comedy,US,Amazon,3.6,918,6.353,4.8,Zak Knutson
The Five Provocations,MOVIE,2018,94,drama,AU,Amazon,6.5,32,1.381,6.5,Angie Black
Oh My God!,MOVIE,2018,95,drama,IT,Amazon,5.6,85,1.381,4.7,
Stray,MOVIE,2018,104,drama,NZ,Amazon,6,313,2.648,2,Dustin Feneley
Girls VS Gangsters,MOVIE,2018,113,comedy,VN,Amazon,3.2,215,1.628,8.3,Barbara Wong Chun-Chun
The Assassin's Code,MOVIE,2018,95,thriller,US,Amazon,5,1210,3.87,5.1,David A. Armstrong
Steven Tyler: Out on a Limb,MOVIE,2018,94,music,US,Amazon,6.6,108,1.764,8,Casey Tebo
Rahul Subramanian: Kal Main Udega,MOVIE,2018,63,comedy,IN,Amazon,7.7,866,1.686,7.8,
In the Hood,MOVIE,2018,97,thriller,RU,Amazon,2.8,417,2.142,3.3,Olya Zueva
Off the Menu,MOVIE,2018,96,comedy,US,Amazon,5.7,1058,3.947,6,Jay Silverman
American Exorcist,MOVIE,2018,90,horror,US,Amazon,2.8,210,7.501,5.7,Tony Trov
Kevin Smith: Silent but Deadly,MOVIE,2018,85,comedy,US,Amazon,6.9,1012,5.376,6.7,Gil Cunha
Party Bus To Hell,MOVIE,2018,81,comedy,US,Amazon,4,2152,5.324,5.4,Rolfe Kanefsky
Monstruo,MOVIE,2018,73,documentation,CL,Amazon,5.7,7,0.6,6.655773956,Lucas Quintana
4/20 Massacre,MOVIE,2018,85,horror,US,Amazon,3.7,705,22.553,6.1,Dylan Reynolds
Social Animals,MOVIE,2018,90,romance,US,Amazon,5.3,1849,8.352,6.4,Theresa Bennett
Corbin Nash,MOVIE,2018,95,thriller,"GB,US",Amazon,4.6,6177,7.563,4.7,Ben Jagger
Villavan,MOVIE,2018,120,action,MY,Amazon,6.5,12,0.601,5.624277457,Vassan
Penélope,MOVIE,2018,67,drama,AR,Amazon,5.4,60,1.001,5.2,Agustin Adba
The Beach House,MOVIE,2018,90,romance,US,Amazon,6.5,1791,3.738,6.5,Roger Spottiswoode
The Trough,MOVIE,2018,113,thriller,CN,Amazon,4.6,274,2.081,6.4,Nick Cheung
Broken Star,MOVIE,2018,90,thriller,US,Amazon,4.3,576,3.846,5.1,Dave Schwep
Silence Patton,MOVIE,2018,85,documentation,US,Amazon,6.8,99,0.676,8,Robert Orlando
The Hollow Child,MOVIE,2018,92,horror,CA,Amazon,4.8,1477,14.261,6.3,Jeremy Lutter
6-Headed Shark Attack,MOVIE,2018,89,horror,US,Amazon,2.8,1169,11.854,4.4,Mark Atkins
The Last Sharknado: It's About Time,MOVIE,2018,86,scifi,US,Amazon,3.5,4235,29.747,4.5,Anthony C. Ferrante
Higher Power,MOVIE,2018,95,thriller,US,Amazon,4.8,4202,9.427,5.1,
Adrift in Soho,MOVIE,2018,108,drama,GB,Amazon,5.6,76,1.992,5.989918256,Pablo Behrens
2036 Origin Unknown,MOVIE,2018,94,scifi,GB,Amazon,4.4,9754,8.937,4.7,Hasraf Dulull
Naam,MOVIE,2018,131,comedy,IN,Amazon,4.4,119,1.01,3,Joshy Thomas Pallickal
King Lear,MOVIE,2018,115,drama,GB,Amazon,6.6,9,10.842,6,Richard Eyre
Two for Joy,MOVIE,2018,86,drama,GB,Amazon,6.2,300,1.964,8.4,Tom Beard
Eaten by Lions,MOVIE,2018,94,comedy,GB,Amazon,6.1,878,2.964,5.9,Jason Wingard
Summer Blooms,MOVIE,2018,93,drama,JP,Amazon,6.7,139,2.878,6.6,Ryûtarô Nakagawa
Erik Griffin: AmERIKan Warrior,MOVIE,2018,58,comedy,US,Amazon,6.7,37,0.6,7.5,Aristotle Athari
Big Legend,MOVIE,2018,89,thriller,US,Amazon,4.9,3879,13.835,6.4,Justin Lee
Spiral,MOVIE,2018,78,documentation,GB,Amazon,4.7,79,1.616,4,Laura Fairrie
Another Soul,MOVIE,2018,78,horror,US,Amazon,2.2,291,4.868,4.7,Paul Chau
Driven to Dance,MOVIE,2018,98,drama,US,Amazon,6.2,1180,2.704,5.8,Tati Vogt
Beate,MOVIE,2018,95,comedy,IT,Amazon,5.9,82,1.534,6.5,Samad Zarmandili
"Summer Days, Summer Nights",MOVIE,2018,124,drama,US,Amazon,6.3,415,7.773,5.6,Edward Burns
Champion,MOVIE,2018,102,sport,AF,Amazon,6.6,91,0.6,5.675,Shaun Nelson
Modern Love,MOVIE,2018,115,scifi,JP,Amazon,5.6,25,0.6,5.25320197,Takuya Fukushima
Hope Springs Eternal,MOVIE,2018,78,drama,US,Amazon,4.8,526,11.076,5.9,Jack C. Newell
Flight 666,MOVIE,2018,89,horror,US,Amazon,4.3,1297,13.186,5.6,Rob Pallatina
Officer,MOVIE,2018,109,action,IN,Amazon,3.4,394,0.758,4.3,Ram Gopal Varma
Nore Davis: You Guys are Dope,MOVIE,2018,58,comedy,US,Amazon,6.8,17,0.661,5.821511111,Derek Brown
Paul Rodriguez: The Here & Wow,MOVIE,2018,75,comedy,US,Amazon,7.5,10,0.994,5.821511111,Gil Cunha
Brody Stevens: Live from the Main Room,MOVIE,2018,49,comedy,US,Amazon,6,57,1.002,4.4,Samuel Brownfield
Spare Room,MOVIE,2018,96,drama,US,Amazon,5.3,275,2.419,5.5,Jenica Bergere
Canary,MOVIE,2018,123,drama,ZA,Amazon,7.5,611,1.186,6.8,Christiaan Olwagen
Bodysnatch,MOVIE,2018,81,scifi,US,Amazon,3,235,2.235,2,Louis Benjamin Del Guercio
Bayou Caviar,MOVIE,2018,111,thriller,US,Amazon,4.7,3257,13.238,4.8,Cuba Gooding Jr.
Bitter Melon,MOVIE,2018,110,crime,US,Amazon,5.7,151,1.4,6.4,H.P. Mendoza
Jim Gaffigan: Noble Ape,MOVIE,2018,67,comedy,US,Amazon,7.6,1279,2.365,7,Jeannie Gaffigan
Satyameva Jayate,MOVIE,2018,142,thriller,IN,Amazon,5.8,7190,12.54,7.2,Milap Zaveri
Doubting Thomas,MOVIE,2018,86,drama,US,Amazon,5,353,3.067,5.8,
Dirt Road To Lafayette,MOVIE,2018,103,drama,XX,Amazon,6.5,70,0.668,9,Kenneth Glenaan
Ahare Mon,MOVIE,2018,110,drama,IN,Amazon,7.3,341,1.338,6,Pratim D. Gupta
The Perfect Host: A Southern Gothic Tale,MOVIE,2018,95,thriller,"NZ,US",Amazon,3.8,174,4.054,6,Derrick Sims
Who's Watching Oliver,MOVIE,2018,87,horror,"TH,US",Amazon,5.1,976,4.503,5.9,Richie Moore
The Wishing Forest,MOVIE,2018,61,fantasy,US,Amazon,3.1,108,1.414,1,Jadzia Perez
Stalked by My Doctor: Patient's Revenge,MOVIE,2018,88,thriller,CA,Amazon,5.3,542,3.609,6.4,Doug Campbell
On the Ropes,MOVIE,2018,93,action,CA,Amazon,4,180,3.346,4.3,Frank Gilhooley
Breaking & Exiting,MOVIE,2018,78,romance,US,Amazon,5.6,2122,6.097,6.3,Peter Facinelli
The Flip Side,MOVIE,2018,90,drama,AU,Amazon,4.9,162,2.015,5,Val Wang
Domestique,MOVIE,2018,117,drama,"SK,CZ",Amazon,6,163,0.736,3.8,Adam Sedlák
22 Chaser,MOVIE,2018,95,thriller,CA,Amazon,5.4,431,3.7,7.1,
The Cleaning Lady,MOVIE,2018,90,horror,US,Amazon,5.5,3398,7.353,5.4,Jon Knautz
Jean-François and the Meaning of Life,MOVIE,2018,85,comedy,"ES,FR",Amazon,6.2,122,0.938,6.6,Sergi Portabella
Anirban Dasgupta: Take It Easy,MOVIE,2018,59,comedy,IN,Amazon,7.3,380,0.6,8,Karan Asnani
Running for Grace,MOVIE,2018,110,romance,US,Amazon,6.1,1551,6.58,6.6,David L. Cunningham
